Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
EX_He			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_akg			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05493			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
Trans_NH4			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05616			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
EX_Mg			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05468			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05319			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05467			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10832			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05145			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn05651			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10474			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10480			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10826			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn10963			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
rxn13892			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
